track,date,race,post_position,horse_name,race_back,age_sex_restrictions,alt_comment_line,apprentice_wt_allow,bris_2f_pace_fig,bris_4f_pace_fig,bris_6f_pace_fig,bris_8f_pace_fig,bris_late_pace_fig,bris_race_shape_first_call,bris_race_shape_second_call,bris_speed_rating,bris_track_code,chute_indicator,claim_trainer_switch_date,claim_trainer_switch_n1,claim_trainer_switch_n2,claim_trainer_switch_n3,claim_trainer_switch_n4,claim_trainer_switch_n5,claimed_code,claiming_price,days_since_prev_race,distance,entry,eqb_abbrev_race_conditions,equipment,extended_start_comment,favorite_indicator,final_time,finish_between_lengths,finish_between_lengths_only,finish_position,first_call_between_lengths,first_call_between_lengths_only,first_call_position,fraction_1,fraction_2,fraction_2f,fraction_3,fraction_4f,fraction_5f,fraction_6f,fraction_8f,front_bandages_indicator,gate_call_position,jockey,medication,money_position,num_entrants,odds,pp_post_position,prev_all_weather_surface_flag,purse,race_classification,race_date,race_name,race_num,race_type,restricted_qualifier_flag,sealed_track_indicator,second_call_between_lengths,second_call_between_lengths_only,second_call_position,second_place_margin,second_place_name,second_place_weight,speed_rating,start_call_between_lengths,start_call_between_lengths_only,start_call_position,statebred_flag,stretch_between_lengths,stretch_between_lengths_only,stretch_position,surface,third_place_margin,third_place_name,third_place_weight,track_code,track_condition,track_variant,trainer,trip_comment,weight,winner_margin,winner_name,winner_weight,target_FP,official_final_odds,year,target_top3,target_top5,target_ml_rank_minus_finish,target_top5_ml_rank_gt4,target_deep_closer_top5
PIM,2017-05-20,11,4,SOCIETY BEAU,3,BON,(Placed 2nd through disqualification),,71,72,71,,98,-8,-8,83,FG,,,,,,,,,,32,1760,,OC50000NW1X,,01-27-17 Rail1st;settled;pulled hard held 5/8;btwn 2path 2nd turn;willing,1,99.32,1.25,1.25,3,2.50,2.50,5,24.28,49.07,24.28,74.25,49.07,,74.25,,0,7,ALBARADO R J,1,2,7,1.90,2,,43000,OC50000n1x,20170127,,7,AO,,,2.75,2.75,5,1.00,IT'S YOUR NICKEL,118,90,7.00,7.00,6,,2.00,2.00,3,D,0.75,SOCIETY BEAU,118,FG,FT,9,HOWARD NEIL J,Rail1st;2p2nd;3w1/4,118,0.25,SENIOR INVESTMENT,120,6,19.9,2017,0,0,-1.0,0,0
PIM,2017-05-20,11,4,SOCIETY BEAU,4,AON,,,74,77,82,,83,3,-2,82,FG,,,,,,,,,,46,1830,,OC50000NW1X,,12-26-16 2p1st turn;settled outside;rally 4w 2nd turn;5wbid1/4;no match,0,104.63,3.25,3.25,2,5.75,5.75,6,24.44,48.45,24.44,74.2,48.45,,74.20,100.43,0,5,ALBARADO R J,1,2,6,3.00,4,,43000,OC50000n1x,20161226,,7,AO,,,1.00,1.00,4,1.75,SOCIETY BEAU,119,82,7.50,7.50,6,,1.75,1.75,4,D,0.25,BOBBY THE BRAIN,122,FG,FT,11,HOWARD NEIL J,2p1st;4w2nd;5w1/4,119,3.25,SHAREHOLDER VALUE,119,6,19.9,2017,0,0,-1.0,0,0
PIM,2017-05-20,11,4,SOCIETY BEAU,5,AON,,,69,69,88,,90,9,4,90,CD,,,,,,,,,,21,1870,,OC75000NW1X,,11-10-16 Unhurried early; 8path far turn; bold bid str; hung late,0,104.12,2.50,2.50,2,14.00,14.00,10,23.81,47.56,23.81,72.6,47.56,,72.60,97.75,0,9,ALBARADO R J,1,2,11,6.10,4,,60000,OC75000n1x,20161110,,9,AO,,,4.50,4.50,10,1.50,SOCIETY BEAU,122,84,11.00,11.00,10,,1.00,1.00,3,D,2.75,SONIC BOOM,120,CD,FT,20,HOWARD NEIL J,Bold bid str;hung late,122,2.50,JUST MOVE ON,118,6,19.9,2017,0,0,-1.0,0,0
PIM,2017-05-20,11,4,SOCIETY BEAU,6,AON,,,74,67,55,,104,-12,-21,79,KEE,,,,,,,,,,33,1870,,Alw62000NW1X,,10-20-16 Unhurried early inside; rail far turn; in tight; no room stretch,0,106.07,0.50,0.50,3,1.75,1.75,5,24.59,49.8,24.59,75.69,49.80,,75.69,100.11,0,4,HERNANDEZ B J JR,1,3,7,4.80,4,,62000,Alw62000n1x,20161020,,7,A,,s,1.50,1.50,5,0.25,JUST MOVE ON,118,81,3.50,3.50,6,,1.00,1.00,4,D,0.25,SOCIETY BEAU,122,KEE,GD,16,HOWARD NEIL J,In tight lane;got thru,122,0.25,THIRSTFORLIFE,120,6,19.9,2017,0,0,-1.0,0,0
PIM,2017-05-20,11,4,SOCIETY BEAU,7,AON,,,74,75,78,,96,6,-2,86,CD,,,,,,,,,,36,1760,,MdSpWt,,09-17-16 Settled in hand; circled 5w; reeled in leaders; edged clear,0,98.33,1.00,,1,8.00,8.00,8,22.91,47.05,22.91,73.04,47.05,,73.04,,0,8,HERNANDEZ B J JR,1,1,12,5.30,5,,43000,MdSpWt,20160917,,6,S,,,3.00,3.00,6,0.13,SOUPER CATCH,118,75,10.00,10.00,8,,1.00,1.00,3,D,3.75,SILENT DECREE,118,CD,MY,25,HOWARD NEIL J,Circled 5w; cleared,118,1.00,SOCIETY BEAU,118,6,19.9,2017,0,0,-1.0,0,0
PIM,2017-05-20,11,4,SOCIETY BEAU,8,AON,,,68,61,65,,93,-17,-17,76,ELP,,,,,,,,,,21,1760,,MdSpWt,,08-12-16 Settled off inside; angled in; got through; best of rest,0,95.99,10.00,10.00,2,4.00,4.00,4,24.47,48.3,24.47,72.66,48.30,,72.66,,0,5,HERNANDEZ B J JR,1,2,7,6.90,6,,38000,MdSpWt,20160812,,4,S,,,3.00,3.00,4,1.25,SOCIETY BEAU,120,83,5.00,5.00,5,,5.00,5.00,2,D,1.50,DERECHO WARRIOR,120,ELP,FT,7,HOWARD NEIL J,Got through; willingly,120,10.00,NOT THIS TIME,120,6,19.9,2017,0,0,-1.0,0,0
PIM,2017-05-20,11,4,SOCIETY BEAU,9,AON,,,77,79,,,84,-1,-5,72,ELP,,,,,,,,,,29,1320,,MdSpWt,,07-22-16 Unhurried early; 9path turn; moved up stretch,0,70.15,5.00,5.00,3,7.00,7.00,6,22.47,45.83,22.47,57.96,45.83,57.96,,,0,5,HERNANDEZ B J JR,1,3,7,5.90,7,,38000,MdSpWt,20160722,,3,S,,,4.00,4.00,6,0.13,ARLEN'S PROSPECT,120,84,,,5,,3.50,3.50,3,D,2.00,SOCIETY BEAU,120,ELP,FT,9,HOWARD NEIL J,9path turn; moved up,120,4.75,LOOKIN AT LEE,120,6,19.9,2017,0,0,-1.0,0,0
PIM,2017-05-20,11,4,SOCIETY BEAU,10,AON,,,72,76,,,83,3,2,66,CD,,,,,,,,,,,1210,,MdSpWt,,06-23-16 Slow into stride; no factor,0,64.63,8.75,8.75,5,11.00,11.00,6,22.34,45.87,22.34,57.95,45.87,57.95,,,0,5,ALBARADO R J,1,5,6,19.10,4,,46500,MdSpWt,20160623,,2,S,,s,10.00,10.00,6,0.06,ONE OF A KIND,118,85,,,5,,10.00,10.00,6,D,0.50,REEDINI,118,CD,SY,14,HOWARD NEIL J,Slow into stride,118,0.50,JERSEY STREET,118,6,19.9,2017,0,0,-1.0,0,0
PIM,2017-05-20,11,5,NO MO DOUGH,1,BON,,,71,66,73,,108,-7,-12,91,CD,,,,,,,,,,24,1870,,OC75000NW1X,,05-06-17 Settled in hand; advanced; split; bumped; broke stride; dug in,0,105.44,0.50,,1,7.50,7.50,6,24.64,49.09,24.64,74.52,49.09,,74.52,99.03,0,3,ORTIZ JOSE L,1,1,8,8.90,8,,67000,OC75000n1x,20170506,,2,AO,,s,3.00,3.00,5,0.75,AWESOME SATURDAY,118,78,5.00,5.00,6,,1.50,1.50,3,D,1.25,UNDERPRESSURE,118,CD,SY,23,MOTION H GRAHAM,Bumped; broke stride,118,0.50,NO MO DOUGH,118,1,9.0,2017,1,1,4.0,1,1
PIM,2017-05-20,11,5,NO MO DOUGH,2,BON,,,84,93,,,86,0,0,88,KEE,,,,,,,,,,31,1540,,Alw72000NW2L,,04-12-17 Hopped start; trailed early; 8path turn; bid str; flattened out,0,82.67,6.00,6.00,4,6.00,6.00,9,22.37,45.2,22.37,69.97,45.20,,69.97,,0,8,ORTIZ JOSE L,1,4,9,5.80,8,,72000,Alw68556n2l,20170412,,6,A,,,4.75,4.75,9,0.25,SHADOW TRACER,118,87,,,8,,3.00,3.00,4,D,1.50,AWESOME SATURDAY,123,KEE,FT,11,MOTION H GRAHAM,Hopped st;bid;flattend,123,4.25,EXCITATIONS,118,1,9.0,2017,1,1,4.0,1,1
